latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
22.92303,112.16214,316.53,1.92,1.35,2025-04-23,0234,T,66,6.1NRT,290.54,20.99,D
22.70659,112.19866,316.57,1.95,1.36,2025-04-23,0234,T,25,6.1NRT,293.45,17.21,D
22.92941,108.49828,315.26,1.13,1.06,2025-04-23,0234,T,44,6.1NRT,293.88,8.06,D
22.53635,106.20858,327.43,1,1,2025-04-23,0234,T,80,6.1NRT,297.62,18.75,D
22.16421,108.40921,316.67,1.14,1.07,2025-04-23,0234,T,68,6.1NRT,288.02,11.71,D
22.159,108.40181,312.88,1.14,1.07,2025-04-23,0234,T,59,6.1NRT,288.82,8.64,D
22.43945,106.30199,321.81,1,1,2025-04-23,0234,T,75,6.1NRT,298.11,12.83,D
22.43808,106.31142,319.75,1,1,2025-04-23,0234,T,72,6.1NRT,297.52,10.86,D
22.39616,106.35281,315.38,1,1,2025-04-23,0234,T,64,6.1NRT,295.26,7.38,D
22.36806,106.34219,317.99,1,1,2025-04-23,0234,T,69,6.1NRT,294.43,9.91,D
22.31822,106.31476,326.91,1,1,2025-04-23,0234,T,80,6.1NRT,297.18,18.06,D
22.0553,107.87621,318.46,1.09,1.04,2025-04-23,0234,T,67,6.1NRT,291.73,7.76,D
22.2695,106.26156,316.77,1,1,2025-04-23,0234,T,68,6.1NRT,296.86,8.5,D
22.23463,106.43918,328.57,1,1,2025-04-23,0234,T,82,6.1NRT,297.21,21.21,D
22.18032,105.86575,324.08,1,1,2025-04-23,0234,T,78,6.1NRT,297.12,14.7,D
